news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
49757,440,Bursa,COMPANY_NAME,HIBISCUS PETROLEUM,HIBISCS,HIBISCUS PETROLEUM BHD
49979,849,Bursa,COMPANY_NAME,PHARMANIAGA,PHARMA,PHARMANIAGA BHD
49979,,,STOCK_SYMBOL,BPLANT,,
49977,,,STOCK_SYMBOL,REIT,,
49976,371,Bursa,COMPANY_NAME,FARM PRICE HOLDINGS,FPHB,FARM PRICE HOLDINGS BERHAD
49972,138,Bursa,COMPANY_NAME,BERJAYA,BJLAND,BERJAYA LAND BHD
49969,138,Bursa,COMPANY_NAME,BERJAYA,BJLAND,BERJAYA LAND BHD
49966,1107,Bursa,COMPANY_NAME,TOP GLOVE,TOPGLOV,TOP GLOVE CORPORATION BHD
49964,1206,Bursa,COMPANY_NAME,YNH PROPERTY,YNHPROP,YNH PROPERTY BHD
49957,1143,Bursa,COMPANY_NAME,UOA DEVELOPMENT,UOADEV,UOA DEVELOPMENT BERHAD
49956,1123,Bursa,COMPANY_NAME,TURIYA,TURIYA,TURIYA BHD
49952,184,Bursa,COMPANY_NAME,CENSOF HOLDINGS,CENSOF,CENSOF HOLDINGS BERHAD
49947,640,Bursa,COMPANY_NAME,MALAKOFF,MALAKOF,MALAKOFF CORPORATION BERHAD
49945,,,STOCK_SYMBOL,KLK,,
49944,548,Bursa,COMPANY_NAME,KAWAN RENERGY,KENERGY,KAWAN RENERGY BERHAD
49942,376,Bursa,COMPANY_NAME,GADANG HOLDINGS,GADANG,GADANG HOLDINGS BHD
49940,,,STOCK_SYMBOL,CME,,
49937,,,STOCK_SYMBOL,NOVA,,
49930,623,Bursa,COMPANY_NAME,LPI CAPITAL,LPI,LPI CAPITAL BHD
49930,820,Bursa,COMPANY_NAME,PUBLIC BANK,PBBANK,PUBLIC BANK BHD
49928,192,Bursa,COMPANY_NAME,CHIN HIN GROUP PROPERTY,CHGP,CHIN HIN GROUP PROPERTY BERHAD
49915,168,Bursa,COMPANY_NAME,CAPITAL A,CAPITALA,CAPITAL A BERHAD
49915,6,Bursa,COMPANY_NAME,AIRASIA X,AAX,AIRASIA X BERHAD
49915,,,STOCK_SYMBOL,AAX,,
49910,926,Bursa,COMPANY_NAME,SALCON,SALCON,SALCON BHD
49911,548,Bursa,COMPANY_NAME,KAWAN RENERGY,KENERGY,KAWAN RENERGY BERHAD
49907,1212,Bursa,COMPANY_NAME,YTL POWER INTERNATIONAL,YTLPOWR,YTL POWER INTERNATIONAL BHD
49907,,Bursa,COMPANY_NAME,YTL,,
49906,958,Bursa,COMPANY_NAME,SUPERCOMNET TECHNOLOGIES,SCOMNET,SUPERCOMNET TECHNOLOGIES BHD
49906,614,Bursa,COMPANY_NAME,LGMS,LGMS,LGMS BERHAD
49906,1123,Bursa,COMPANY_NAME,TURIYA,TURIYA,TURIYA BHD
49909,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
49891,376,Bursa,COMPANY_NAME,GADANG HOLDINGS,GADANG,GADANG HOLDINGS BHD
49889,1043,Bursa,COMPANY_NAME,SUPERMAX,SUPERMX,SUPERMAX CORPORATION BHD
49880,,,STOCK_SYMBOL,KKB,,
49877,1157,Bursa,COMPANY_NAME,VITROX,VITROX,VITROX CORPORATION BHD
49874,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
49864,,,STOCK_SYMBOL,AAX,,
49865,168,Bursa,COMPANY_NAME,CAPITAL A,CAPITALA,CAPITAL A BERHAD
49863,,,COMPANY_NAME,MALAYSIA SMELTING CORP,,
49863,,,STOCK_SYMBOL,MSC,,
49861,452,Bursa,COMPANY_NAME,HOMERITZ,HOMERIZ,HOMERITZ CORPORATION BERHAD
49859,790,Bursa,COMPANY_NAME,OPPSTAR,OPPSTAR,OPPSTAR BERHAD
49853,203,Bursa,COMPANY_NAME,CIMB GROUP HOLDINGS,CIMB,CIMB GROUP HOLDINGS BERHAD
49851,,,STOCK_SYMBOL,MBSB,,
49850,376,Bursa,COMPANY_NAME,GADANG HOLDINGS,GADANG,GADANG HOLDINGS BHD
49842,476,Bursa,COMPANY_NAME,ICONIC WORLDWIDE,ICONIC,ICONIC WORLDWIDE BERHAD
49843,572,Bursa,COMPANY_NAME,KUALA LUMPUR KEPONG,KLK,KUALA LUMPUR KEPONG BHD
49843,,,STOCK_SYMBOL,KLK,,
49834,37,Bursa,COMPANY_NAME,AJIYA,AJIYA,AJIYA BHD
49832,,,COMPANY_NAME,YTL HOSPITALITY REIT,,
49831,6,Bursa,COMPANY_NAME,AIRASIA X,AAX,AIRASIA X BERHAD
49831,,,STOCK_SYMBOL,AAX,,
