news_id,stock_id,exchange,entity_type,entity_name,stock_symbol,company_name
32613,849,Bursa,COMPANY_NAME,PHARMANIAGA,PHARMA,PHARMANIAGA BHD
32623,,,STOCK_SYMBOL,KGB,,
32629,,,STOCK_SYMBOL,FFB,,
32796,1041,Bursa,COMPANY_NAME,SUNZEN BIOTECH,SUNZEN,SUNZEN BIOTECH BHD
32807,751,Bursa,COMPANY_NAME,NCT ALLIANCE,NCT,NCT ALLIANCE BERHAD
32622,557,Bursa,COMPANY_NAME,KHPT HOLDINGS,KHB,KHPT HOLDINGS BERHAD
32612,849,Bursa,COMPANY_NAME,PHARMANIAGA,PHARMA,PHARMANIAGA BHD
32800,989,Bursa,COMPANY_NAME,SIME DARBY PROPERTY,SIMEPROP,SIME DARBY PROPERTY BERHAD
32815,742,Bursa,COMPANY_NAME,MYCRON STEEL,MYCRON,MYCRON STEEL BHD
32827,989,Bursa,COMPANY_NAME,SIME DARBY PROPERTY,SIMEPROP,SIME DARBY PROPERTY BERHAD
32862,,,STOCK_SYMBOL,MAG,,
32911,,,STOCK_CODE,0028,,
32813,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
32614,,Bursa,COMPANY_NAME,PERAK,,
32626,,,STOCK_SYMBOL,KESM,,
32801,819,Bursa,COMPANY_NAME,PBA HOLDINGS,PBA,PBA HOLDINGS BHD
32802,751,Bursa,COMPANY_NAME,NCT ALLIANCE,NCT,NCT ALLIANCE BERHAD
32820,795,Bursa,COMPANY_NAME,OSK HOLDINGS,OSK,OSK HOLDINGS BHD
32820,913,Bursa,COMPANY_NAME,RHB BANK,RHBBANK,RHB BANK BERHAD
32823,1058,Bursa,COMPANY_NAME,TAGHILL HOLDINGS,TAGHILL,TAGHILL HOLDINGS BERHAD
32834,1107,Bursa,COMPANY_NAME,TOP GLOVE,TOPGLOV,TOP GLOVE CORPORATION BHD
32838,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
32839,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
32844,1107,Bursa,COMPANY_NAME,TOP GLOVE,TOPGLOV,TOP GLOVE CORPORATION BHD
32852,,,STOCK_SYMBOL,MAG,,
32854,,,STOCK_SYMBOL,MAG,,
32856,385,Bursa,COMPANY_NAME,GDEX,GDEX,GDEX BERHAD
32856,248,Bursa,COMPANY_NAME,DELEUM,DELEUM,DELEUM BHD
32858,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
32859,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
32883,960,Bursa,COMPANY_NAME,SOLAR DISTRICT COOLING GROUP,SDCG,SOLAR DISTRICT COOLING GROUP BERHAD
32909,291,Bursa,COMPANY_NAME,ECO WORLD DEVELOPMENT GROUP,ECOWLD,ECO WORLD DEVELOPMENT GROUP BERHAD
