news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
11131,1024,Bursa,COMPANY_NAME,SILVER RIDGE HOLDINGS,SRIDGE,SILVER RIDGE HOLDINGS BHD
11133,968,Bursa,COMPANY_NAME,SEDANIA INNOVATOR,SEDANIA,SEDANIA INNOVATOR BERHAD
11147,334,Bursa,COMPANY_NAME,EVD,EVD,EVD BERHAD
11152,111,Bursa,COMPANY_NAME,AHMAD ZAKI RESOURCES,AZRB,AHMAD ZAKI RESOURCES BHD
11152,,,STOCK_SYMBOL,AZRB,,
11184,124,Bursa,COMPANY_NAME,BETAMEK,BETA,BETAMEK BERHAD
11210,,,COMPANY_NAME,BOUSTEAD HEAVY INDUSTRIES CORP,,
11210,,,STOCK_SYMBOL,BHIC,,
11211,,,COMPANY_NAME,POH HUAT RESOURCES HOLDINGS,,
11211,185,Bursa,COMPANY_NAME,CEPATWAWASAN GROUP,CEPAT,CEPATWAWASAN GROUP BHD
11284,227,Bursa,COMPANY_NAME,CRESCENDO,CRESNDO,CRESCENDO CORPORATION BHD
11232,1004,Bursa,COMPANY_NAME,SOUTH MALAYSIA INDUSTRIES,SMI,SOUTH MALAYSIA INDUSTRIES BHD
11232,,,STOCK_SYMBOL,SMI,,
11167,,,STOCK_SYMBOL,AZRB,,
11186,,,COMPANY_NAME,BOUSTEAD HEAVY INDUSTRIES CORP,,
11186,,,STOCK_SYMBOL,BHIC,,
11217,694,Bursa,COMPANY_NAME,MISC,MISC,MISC BHD
11219,,,STOCK_SYMBOL,WARISAN,,
11254,475,Bursa,COMPANY_NAME,ICON OFFSHORE,ICON,ICON OFFSHORE BERHAD
11261,46,Bursa,COMPANY_NAME,AMMB HOLDINGS,AMBANK,AMMB HOLDINGS BHD
11278,791,Bursa,COMPANY_NAME,OPTIMAX HOLDINGS,OPTIMAX,OPTIMAX HOLDINGS BERHAD
11285,46,Bursa,COMPANY_NAME,AMMB HOLDINGS,AMBANK,AMMB HOLDINGS BHD
11132,111,Bursa,COMPANY_NAME,AHMAD ZAKI RESOURCES,AZRB,AHMAD ZAKI RESOURCES BHD
11132,,,STOCK_SYMBOL,AZRB,,
11138,606,Bursa,COMPANY_NAME,LBS BINA GROUP,LBS,LBS BINA GROUP BHD
11140,138,Bursa,COMPANY_NAME,BERJAYA,BJLAND,BERJAYA LAND BHD
11196,376,Bursa,COMPANY_NAME,GADANG HOLDINGS,GADANG,GADANG HOLDINGS BHD
11201,549,Bursa,COMPANY_NAME,KERJAYA PROSPEK GROUP,KERJAYA,KERJAYA PROSPEK GROUP BERHAD
11215,672,Bursa,COMPANY_NAME,MERIDIAN,MERIDIAN,MERIDIAN BERHAD
11222,124,Bursa,COMPANY_NAME,BETAMEK,BETA,BETAMEK BERHAD
11241,,,COMPANY_NAME,POH HUAT RESOURCES HOLDINGS,,
11255,387,Bursa,COMPANY_NAME,GENTING MALAYSIA,GENM,GENTING MALAYSIA BERHAD
11269,1028,Bursa,COMPANY_NAME,STAR MEDIA GROUP,STAR,STAR MEDIA GROUP BERHAD
11274,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
