news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
50233,22,Bursa,COMPANY_NAME,AGESON,AGES,AGESON BERHAD
50230,,,STOCK_SYMBOL,KKB,,
50522,,,COMPANY_NAME,BOUSTEAD HEAVY INDUSTRIES CORP,,
50522,,,STOCK_SYMBOL,BHIC,,
50521,817,Bursa,COMPANY_NAME,PASUKHAS GROUP,PASUKGB,PASUKHAS GROUP BERHAD
50518,572,Bursa,COMPANY_NAME,KUALA LUMPUR KEPONG,KLK,KUALA LUMPUR KEPONG BHD
50518,,,STOCK_SYMBOL,KLK,,
50516,321,Bursa,COMPANY_NAME,EPICON,EPICON,EPICON BERHAD
50507,608,Bursa,COMPANY_NAME,LOTTE CHEMICAL TITAN HOLDING,LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD
50505,1184,Bursa,COMPANY_NAME,WESTPORTS HOLDINGS,WPRTS,WESTPORTS HOLDINGS BERHAD
50499,1004,Bursa,COMPANY_NAME,SOUTH MALAYSIA,SMI,SOUTH MALAYSIA INDUSTRIES BHD
50499,,,STOCK_SYMBOL,SMI,,
50501,897,Bursa,COMPANY_NAME,RCE CAPITAL,RCECAP,RCE CAPITAL BHD
50493,1056,Bursa,COMPANY_NAME,TA ANN HOLDINGS,TAANN,TA ANN HOLDINGS BHD
50492,1148,Bursa,COMPANY_NAME,UUE HOLDINGS,UUE,UUE HOLDINGS BERHAD
50488,662,Bursa,COMPANY_NAME,MALAYAN CEMENT,MCEMENT,MALAYAN CEMENT BERHAD
50484,1148,Bursa,COMPANY_NAME,UUE HOLDINGS,UUE,UUE HOLDINGS BERHAD
50479,547,Bursa,COMPANY_NAME,KENANGA INVESTMENT BANK,KENANGA,KENANGA INVESTMENT BANK BERHAD
50472,138,Bursa,COMPANY_NAME,BERJAYA,BJLAND,BERJAYA LAND BHD
50466,528,Bursa,COMPANY_NAME,JIANKUN INTERNATIONAL,JIANKUN,JIANKUN INTERNATIONAL BERHAD
50466,1031,Bursa,COMPANY_NAME,SUCCESS TRANSFORMER,SUCCESS,SUCCESS TRANSFORMER CORP BHD
50466,57,Bursa,COMPANY_NAME,ANEKA JARINGAN HOLDINGS,ANEKA,ANEKA JARINGAN HOLDINGS BERHAD
50464,895,Bursa,COMPANY_NAME,RANHILL UTILITIES,RANHILL,RANHILL UTILITIES BERHAD
50463,779,Bursa,COMPANY_NAME,OCEAN FRESH,OFB,OCEAN FRESH BERHAD
50463,779,Bursa,COMPANY_NAME,OCEAN FRESH,OFB,OCEAN FRESH BERHAD
50452,779,Bursa,COMPANY_NAME,OCEAN FRESH,OFB,OCEAN FRESH BERHAD
50450,,,STOCK_SYMBOL,KKB,,
50435,,,STOCK_SYMBOL,KKB,,
50434,371,Bursa,COMPANY_NAME,FARM PRICE HOLDINGS,FPHB,FARM PRICE HOLDINGS BERHAD
50433,371,Bursa,COMPANY_NAME,FARM PRICE HOLDINGS,FPHB,FARM PRICE HOLDINGS BERHAD
50432,999,Bursa,COMPANY_NAME,SLP RESOURCES,SLP,SLP RESOURCES BHD
50429,1192,Bursa,COMPANY_NAME,XOX,XOX,XOX BHD
50426,1186,Bursa,COMPANY_NAME,WTK HOLDINGS,WTK,WTK HOLDINGS BHD
50423,842,Bursa,COMPANY_NAME,PETRONAS GAS,PETGAS,PETRONAS GAS BHD
50423,,,STOCK_SYMBOL,PETGAS,,
50420,1119,Bursa,COMPANY_NAME,TT VISION HOLDINGS,TTV,TT VISION HOLDINGS BERHAD
50421,1150,Bursa,COMPANY_NAME,UZMA,UZMA,UZMA BHD
50419,840,Bursa,COMPANY_NAME,PESTECH INTERNATIONAL,PESTECH,PESTECH INTERNATIONAL BERHAD
50418,895,Bursa,COMPANY_NAME,RANHILL UTILITIES,RANHILL,RANHILL UTILITIES BERHAD
50417,943,Bursa,COMPANY_NAME,SARAWAK CABLE,SCABLE,SARAWAK CABLE BERHAD
50416,371,Bursa,COMPANY_NAME,FARM PRICE HOLDINGS,FPHB,FARM PRICE HOLDINGS BERHAD
50411,,,COMPANY_NAME,BOUSTEAD HEAVY INDUSTRIES CORP,,
50411,,,STOCK_SYMBOL,BHIC,,
50404,,,STOCK_SYMBOL,KKB,,
50403,,,STOCK_SYMBOL,AIM,,
