news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
16581,168,Bursa,COMPANY_NAME,CAPITAL A,CAPITALA,CAPITAL A BERHAD
16619,,,STOCK_SYMBOL,REIT,,
16674,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
16708,285,Bursa,COMPANY_NAME,ECA INTEGRATED SOLUTION,ECA,ECA INTEGRATED SOLUTION BERHAD
16579,838,Bursa,COMPANY_NAME,PERTAMA DIGITAL,PERTAMA,PERTAMA DIGITAL BERHAD
16584,1103,Bursa,COMPANY_NAME,TOMEI CONSOLIDATED,TOMEI,TOMEI CONSOLIDATED BHD
16582,476,Bursa,COMPANY_NAME,ICONIC WORLDWIDE,ICONIC,ICONIC WORLDWIDE BERHAD
16599,223,Bursa,COMPANY_NAME,CORAZA INTEGRATED TECHNOLOGY,CORAZA,CORAZA INTEGRATED TECHNOLOGY BERHAD
16608,447,Bursa,COMPANY_NAME,HONG LEONG INDUSTRIES,HLIND,HONG LEONG INDUSTRIES BHD
16610,468,Bursa,COMPANY_NAME,HUP SENG INDUSTRIES,HUPSENG,HUP SENG INDUSTRIES BHD
16614,,,STOCK_SYMBOL,MPI,,
16620,1107,Bursa,COMPANY_NAME,TOP GLOVE,TOPGLOV,TOP GLOVE CORPORATION BHD
16620,420,Bursa,COMPANY_NAME,HARTALEGA HOLDINGS,HARTA,HARTALEGA HOLDINGS BHD
16620,1043,Bursa,COMPANY_NAME,SUPERMAX,SUPERMX,SUPERMAX CORPORATION BHD
16630,105,Bursa,COMPANY_NAME,AXIATA GROUP,AXIATA,AXIATA GROUP BERHAD
16636,1131,Bursa,COMPANY_NAME,UEM SUNRISE,UEMS,UEM SUNRISE BERHAD
16637,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
16634,1001,Bursa,COMPANY_NAME,SMART ASIA CHEMICAL,SMART,SMART ASIA CHEMICAL BHD
16640,,,STOCK_SYMBOL,SEB,,
16651,1029,Bursa,COMPANY_NAME,STRAITS ENERGY RESOURCES,STRAITS,STRAITS ENERGY RESOURCES BERHAD
16651,905,Bursa,COMPANY_NAME,REVENUE GROUP,REVENUE,REVENUE GROUP BERHAD
16651,763,Bursa,COMPANY_NAME,NOTION VTEC,NOTION,NOTION VTEC BHD
16661,1103,Bursa,COMPANY_NAME,TOMEI CONSOLIDATED,TOMEI,TOMEI CONSOLIDATED BHD
16672,,,STOCK_CODE,0310,,
16681,,Bursa,COMPANY_NAME,IJM,,
16683,1107,Bursa,COMPANY_NAME,TOP GLOVE,TOPGLOV,TOP GLOVE CORPORATION BHD
16702,29,Bursa,COMPANY_NAME,APEX HEALTHCARE,AHEALTH,APEX HEALTHCARE BHD
16705,695,Bursa,COMPANY_NAME,MITRAJAYA HOLDINGS,MITRA,MITRAJAYA HOLDINGS BHD
16594,606,Bursa,COMPANY_NAME,LBS BINA GROUP,LBS,LBS BINA GROUP BHD
16597,544,Bursa,COMPANY_NAME,KAWAN FOOD,KAWAN,KAWAN FOOD BHD
16687,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
16586,1088,Bursa,COMPANY_NAME,THONG GUAN INDUSTRIES,TGUAN,THONG GUAN INDUSTRIES BHD
16591,1103,Bursa,COMPANY_NAME,TOMEI CONSOLIDATED,TOMEI,TOMEI CONSOLIDATED BHD
16611,967,Bursa,COMPANY_NAME,SEREMBAN ENGINEERING,SEB,SEREMBAN ENGINEERING BERHAD
16611,,,STOCK_SYMBOL,SEB,,
16612,522,Bursa,COMPANY_NAME,JCBNEXT,JCBNEXT,JCBNEXT BERHAD
16628,943,Bursa,COMPANY_NAME,SARAWAK CABLE,SCABLE,SARAWAK CABLE BERHAD
16635,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
16645,1001,Bursa,COMPANY_NAME,SMART ASIA CHEMICAL,SMART,SMART ASIA CHEMICAL BHD
16686,33,Bursa,COMPANY_NAME,MALAYSIA AIRPORTS HOLDINGS,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD
16699,,,STOCK_CODE,0032,,
16709,1133,Bursa,COMPANY_NAME,UMEDIC GROUP,UMC,UMEDIC GROUP BERHAD
