news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
39117,1206,Bursa,COMPANY_NAME,YNH PROPERTY,YNHPROP,YNH PROPERTY BHD
39117,608,Bursa,COMPANY_NAME,LOTTE CHEMICAL TITAN HOLDING,LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD
39117,,Bursa,COMPANY_NAME,IREKA,,
39117,1101,Bursa,COMPANY_NAME,TMC LIFE SCIENCES,TMCLIFE,TMC LIFE SCIENCES BHD
39117,1037,Bursa,COMPANY_NAME,SUNSURIA,SUNSURIA,SUNSURIA BERHAD
39117,129,Bursa,COMPANY_NAME,BINTAI KINDEN,BINTAI,BINTAI KINDEN CORPORATION BHD
39117,1151,Bursa,COMPANY_NAME,VARIA,VARIA,VARIA BERHAD
39462,781,Bursa,COMPANY_NAME,ORIENTAL INTEREST,OIB,ORIENTAL INTEREST BHD
39458,513,Bursa,COMPANY_NAME,ITMAX SYSTEM,ITMAX,ITMAX SYSTEM BERHAD
39451,1206,Bursa,COMPANY_NAME,YNH PROPERTY,YNHPROP,YNH PROPERTY BHD
39449,1101,Bursa,COMPANY_NAME,TMC LIFE SCIENCES,TMCLIFE,TMC LIFE SCIENCES BHD
39448,608,Bursa,COMPANY_NAME,LOTTE CHEMICAL TITAN HOLDING,LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD
39448,,,STOCK_SYMBOL,LCTITAN,,
39121,,,STOCK_SYMBOL,MAG,,
39453,424,Bursa,COMPANY_NAME,HE GROUP,HEGROUP,HE GROUP BERHAD
39445,424,Bursa,COMPANY_NAME,HE GROUP,HEGROUP,HE GROUP BERHAD
39437,,,STOCK_CODE,0105,,
39436,102,Bursa,COMPANY_NAME,AVILLION,AVI,AVILLION BERHAD
39435,,,STOCK_SYMBOL,SUNREIT,,
39434,1206,Bursa,COMPANY_NAME,YNH PROPERTY,YNHPROP,YNH PROPERTY BHD
39430,,,STOCK_SYMBOL,LCTITAN,,
39425,160,Bursa,COMPANY_NAME,BURSA MALAYSIA,BURSA,BURSA MALAYSIA BHD
39422,424,Bursa,COMPANY_NAME,HE GROUP,HEGROUP,HE GROUP BERHAD
39413,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
39413,640,Bursa,COMPANY_NAME,MALAKOFF,MALAKOF,MALAKOFF CORPORATION BERHAD
39410,1212,Bursa,COMPANY_NAME,YTL POWER INTERNATIONAL,YTLPOWR,YTL POWER INTERNATIONAL BHD
39404,1150,Bursa,COMPANY_NAME,UZMA,UZMA,UZMA BHD
39403,429,Bursa,COMPANY_NAME,HEXTAR CAPITAL,HEXCAP,HEXTAR CAPITAL BERHAD
39403,786,Bursa,COMPANY_NAME,OPCOM HOLDINGS,OMH,OM HOLDINGS LIMITED
39400,896,Bursa,COMPANY_NAME,RAPID SYNERGY,RAPID,RAPID SYNERGY BHD
39400,1179,Bursa,COMPANY_NAME,WIDAD GROUP,WIDAD,WIDAD GROUP BERHAD
39400,950,Bursa,COMPANY_NAME,SARAWAK CONSOLIDATED,SCIB,SARAWAK CONSOLIDATED IND BHD
39393,866,Bursa,COMPANY_NAME,PAN MALAYSIA HOLDINGS,PMHLDG,PAN MALAYSIA HOLDINGS BHD
39388,382,Bursa,COMPANY_NAME,THONG GUAN,GCB,GUAN CHONG BHD
39388,999,Bursa,COMPANY_NAME,SLP RESOURCES,SLP,SLP RESOURCES BHD
39388,148,Bursa,COMPANY_NAME,BP PLASTICS HOLDING,BPPLAS,BP PLASTICS HOLDING BHD
39388,,,STOCK_SYMBOL,BPPLAS,,
39385,,,STOCK_SYMBOL,MGRC,,
39383,415,Bursa,COMPANY_NAME,HANDAL ENERGY,HANDAL,HANDAL ENERGY BERHAD
39380,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
39379,608,Bursa,COMPANY_NAME,LOTTE CHEMICAL TITAN HOLDING,LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD
39379,,,STOCK_SYMBOL,LCTITAN,,
39376,744,Bursa,COMPANY_NAME,MYNEWS HOLDINGS,MYNEWS,MYNEWS HOLDINGS BERHAD
39372,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
39369,868,Bursa,COMPANY_NAME,POH KONG HOLDINGS,POHKONG,POH KONG HOLDINGS BHD
39360,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
39360,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
39354,289,Bursa,COMPANY_NAME,ECOMATE HOLDINGS,ECOMATE,ECOMATE HOLDINGS BERHAD
39349,245,Bursa,COMPANY_NAME,DAYANG ENTERPRISE HOLDINGS,DAYANG,DAYANG ENTERPRISE HOLDINGS BHD
39346,532,Bursa,COMPANY_NAME,JOHAN HOLDINGS,JOHAN,JOHAN HOLDINGS BHD
39341,930,Bursa,COMPANY_NAME,SAMAIDEN GROUP,SAMAIDEN,SAMAIDEN GROUP BERHAD
39355,930,Bursa,COMPANY_NAME,SAMAIDEN GROUP,SAMAIDEN,SAMAIDEN GROUP BERHAD
39355,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
39337,424,Bursa,COMPANY_NAME,HE GROUP,HEGROUP,HE GROUP BERHAD
39336,,,COMPANY_NAME,CAPITALAND MALAYSIA TRUST,,
39336,,,STOCK_SYMBOL,CLMT,,
39332,424,Bursa,COMPANY_NAME,HE GROUP,HEGROUP,HE GROUP BERHAD
39356,702,Bursa,COMPANY_NAME,MMAG HOLDINGS,MMAG,MMAG HOLDINGS BERHAD
