news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
58539,1004,Bursa,COMPANY_NAME,SOUTH MALAYSIA,SMI,SOUTH MALAYSIA INDUSTRIES BHD
58539,,,STOCK_SYMBOL,SMI,,
58539,547,Bursa,COMPANY_NAME,KENANGA INVESTMENT BANK,KENANGA,KENANGA INVESTMENT BANK BERHAD
58840,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58839,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58834,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58835,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
58828,,,STOCK_SYMBOL,JOE,,
58817,775,Bursa,COMPANY_NAME,OCK GROUP,OCK,OCK GROUP BERHAD
58820,490,Bursa,COMPANY_NAME,IHH HEALTHCARE,IHH,IHH HEALTHCARE BERHAD
58809,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
58838,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58838,,,STOCK_SYMBOL,JPG,,
58801,,Bursa,COMPANY_NAME,IJM,,
58787,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58783,1110,Bursa,COMPANY_NAME,TOYO VENTURES HOLDINGS,TOYOVEN,TOYO VENTURES HOLDINGS BERHAD
58782,1203,Bursa,COMPANY_NAME,YINSON HOLDINGS,YINSON,YINSON HOLDINGS BHD
58776,543,Bursa,COMPANY_NAME,KARYON,KARYON,KARYON INDUSTRIES BHD
58776,455,Bursa,COMPANY_NAME,HPMT HOLDINGS,HPMT,HPMT HOLDINGS BERHAD
58772,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
58767,897,Bursa,COMPANY_NAME,RCE CAPITAL,RCECAP,RCE CAPITAL BHD
58758,,Bursa,COMPANY_NAME,MMC,,
58757,233,Bursa,COMPANY_NAME,CTOS DIGITAL,CTOS,CTOS DIGITAL BERHAD
58756,203,Bursa,COMPANY_NAME,CIMB GROUP HOLDINGS,CIMB,CIMB GROUP HOLDINGS BERHAD
58752,549,Bursa,COMPANY_NAME,KERJAYA PROSPEK GROUP,KERJAYA,KERJAYA PROSPEK GROUP BERHAD
58741,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
58739,943,Bursa,COMPANY_NAME,SARAWAK CABLE,SCABLE,SARAWAK CABLE BERHAD
58731,76,Bursa,COMPANY_NAME,BUMI ARMADA,ARMADA,BUMI ARMADA BERHAD
58731,694,Bursa,COMPANY_NAME,MISC,MISC,MISC BHD
58730,1165,Bursa,COMPANY_NAME,VETECE HOLDINGS,VTC,VETECE HOLDINGS BERHAD
58730,547,Bursa,COMPANY_NAME,KENANGA INVESTMENT BANK,KENANGA,KENANGA INVESTMENT BANK BERHAD
58730,1165,Bursa,COMPANY_NAME,VETECE HOLDINGS,VTC,VETECE HOLDINGS BERHAD
58717,27,Bursa,COMPANY_NAME,AGX GROUP,AGX,AGX GROUP BERHAD
58707,533,Bursa,COMPANY_NAME,JOHOR PLANTATIONS GROUP,JPG,JOHOR PLANTATIONS GROUP BERHAD
58707,,,STOCK_SYMBOL,JPG,,
58708,1212,Bursa,COMPANY_NAME,YTL POWER INTERNATIONAL,YTLPOWR,YTL POWER INTERNATIONAL BHD
58708,895,Bursa,COMPANY_NAME,RANHILL UTILITIES,RANHILL,RANHILL UTILITIES BERHAD
58706,1165,Bursa,COMPANY_NAME,VETECE HOLDINGS,VTC,VETECE HOLDINGS BERHAD
58706,547,Bursa,COMPANY_NAME,KENANGA INVESTMENT BANK,KENANGA,KENANGA INVESTMENT BANK BERHAD
58703,1089,Bursa,COMPANY_NAME,THETA EDGE,THETA,THETA EDGE BERHAD
58699,392,Bursa,COMPANY_NAME,GHL SYSTEMS,GHLSYS,GHL SYSTEMS BHD
58698,1089,Bursa,COMPANY_NAME,THETA EDGE,THETA,THETA EDGE BERHAD
58697,58,Bursa,COMPANY_NAME,ANN JOO RESOURCES,ANNJOO,ANN JOO RESOURCES BHD
58693,663,Bursa,COMPANY_NAME,MCLEAN TECHNOLOGIES,MCLEAN,MCLEAN TECHNOLOGIES BERHAD
58691,650,Bursa,COMPANY_NAME,MAXIM GLOBAL,MAXIM,MAXIM GLOBAL BERHAD
58689,1160,Bursa,COMPANY_NAME,VESTLAND,VLB,VESTLAND BERHAD
58688,,,STOCK_SYMBOL,SOP,,
58686,296,Bursa,COMPANY_NAME,EDUSPEC HOLDINGS,EDUSPEC,EDUSPEC HOLDINGS BERHAD
