news_id,stock_symbol_id,exchange,entity_type,entity_name,stock_symbol,company_name
26530,881,Bursa,COMPANY_NAME,PERAK TRANSIT,PTRANS,PERAK TRANSIT BERHAD
26579,142,Bursa,COMPANY_NAME,BINASTRA,BNASTRA,BINASTRA CORPORATION BERHAD
26293,,,STOCK_SYMBOL,AAX,,
26527,103,Bursa,COMPANY_NAME,AWANBIRU TECHNOLOGY,AWANTEC,AWANBIRU TECHNOLOGY BERHAD
26532,,,COMPANY_NAME,MALAYSIA SMELTING CORP,,
26538,944,Bursa,COMPANY_NAME,SIK CHEONG,SCB,SIK CHEONG BERHAD
26518,1199,Bursa,COMPANY_NAME,YBS INTERNATIONAL,YBS,YBS INTERNATIONAL BERHAD
26568,1061,Bursa,COMPANY_NAME,TALIWORKS,TALIWRK,TALIWORKS CORPORATION BHD
26571,233,Bursa,COMPANY_NAME,CTOS DIGITAL,CTOS,CTOS DIGITAL BERHAD
26281,,,STOCK_SYMBOL,SUNCON,,
26500,438,Bursa,COMPANY_NAME,HHRG,HHRG,HHRG BERHAD
26502,,,STOCK_SYMBOL,STAR,,
26508,1173,Bursa,COMPANY_NAME,WCT HOLDINGS,WCT,WCT HOLDINGS BERHAD
26511,944,Bursa,COMPANY_NAME,SIK CHEONG,SCB,SIK CHEONG BERHAD
26512,288,Bursa,COMPANY_NAME,ECOBUILT HOLDINGS,ECOHLDS,ECOBUILT HOLDINGS BERHAD
26513,,,STOCK_SYMBOL,AWANTEC,,
26515,1029,Bursa,COMPANY_NAME,STRAITS ENERGY RESOURCES,STRAITS,STRAITS ENERGY RESOURCES BERHAD
26523,,,STOCK_SYMBOL,PTRANS,,
26521,895,Bursa,COMPANY_NAME,RANHILL UTILITIES,RANHILL,RANHILL UTILITIES BERHAD
26521,1212,Bursa,COMPANY_NAME,YTL POWER INTERNATIONAL,YTLPOWR,YTL POWER INTERNATIONAL BHD
26531,,,STOCK_SYMBOL,MSC,,
26537,1100,Bursa,COMPANY_NAME,TELEKOM MALAYSIA,TM,TELEKOM MALAYSIA BHD
26537,,,STOCK_SYMBOL,TM,,
26555,142,Bursa,COMPANY_NAME,BINASTRA,BNASTRA,BINASTRA CORPORATION BERHAD
26560,574,Bursa,COMPANY_NAME,KIM LOONG RESOURCES,KMLOONG,KIM LOONG RESOURCES BHD
26560,963,Bursa,COMPANY_NAME,SDS GROUP,SDS,SDS GROUP BERHAD
26560,318,Bursa,COMPANY_NAME,ENGTEX GROUP,ENGTEX,ENGTEX GROUP BHD
26576,142,Bursa,COMPANY_NAME,BINASTRA,BNASTRA,BINASTRA CORPORATION BERHAD
26591,,,COMPANY_NAME,MALAYSIA SMELTING CORPORATION,,
26591,,,STOCK_SYMBOL,MSC,,
26594,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
26606,81,Bursa,COMPANY_NAME,ASDION,ASDION,ASDION BHD
26503,848,Bursa,COMPANY_NAME,PARAGON GLOBE,PGLOBE,PARAGON GLOBE BERHAD
