news_id,stock_id,exchange,entity_type,entity_name,stock_symbol,company_name
33238,288,Bursa,COMPANY_NAME,ECOBUILT HOLDINGS,ECOHLDS,ECOBUILT HOLDINGS BERHAD
33244,1203,Bursa,COMPANY_NAME,YINSON HOLDINGS,YINSON,YINSON HOLDINGS BHD
33262,665,Bursa,COMPANY_NAME,MEDIA PRIMA,MEDIA,MEDIA PRIMA BHD
33264,411,Bursa,COMPANY_NAME,GLOBETRONICS TECHNOLOGY,GTRONIC,GLOBETRONICS TECHNOLOGY BHD
33279,406,Bursa,COMPANY_NAME,GREEN PACKET,GPACKET,GREEN PACKET BHD
32976,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
32980,228,Bursa,COMPANY_NAME,CREST GROUP,CREST,CREST GROUP BERHAD
33299,383,Bursa,COMPANY_NAME,GRAND CENTRAL ENTERPRISES,GCE,GRAND CENTRAL ENTERPRISES BHD
33191,849,Bursa,COMPANY_NAME,PHARMANIAGA,PHARMA,PHARMANIAGA BHD
33213,419,Bursa,COMPANY_NAME,HARN LEN,HARNLEN,HARN LEN CORPORATION BHD
33213,,,STOCK_SYMBOL,MESB,,
33243,444,Bursa,COMPANY_NAME,HONG LEONG BANK,HLBANK,HONG LEONG BANK BHD
32981,320,Bursa,COMPANY_NAME,EPB GROUP,EPB,EPB GROUP BERHAD
33182,635,Bursa,COMPANY_NAME,MAGMA GROUP,MAGMA,MAGMA GROUP BERHAD
33211,1162,Bursa,COMPANY_NAME,V.S INDUSTRY,VS,V.S INDUSTRY BHD
33216,377,Bursa,COMPANY_NAME,GAMUDA,GAMUDA,GAMUDA BHD
33245,20,Bursa,COMPANY_NAME,AFFIN BANK,AFFIN,AFFIN BANK BERHAD
33253,952,Bursa,COMPANY_NAME,SCIENTEX,SCIENTX,SCIENTEX BERHAD
33309,567,Bursa,COMPANY_NAME,KJTS GROUP,KJTS,KJTS GROUP BERHAD
32998,354,Bursa,COMPANY_NAME,FIAMMA HOLDINGS,FIAMMA,FIAMMA HOLDINGS BHD
33003,320,Bursa,COMPANY_NAME,EPB GROUP,EPB,EPB GROUP BERHAD
33178,255,Bursa,COMPANY_NAME,DIGISTAR,DIGISTA,DIGISTAR CORPORATION BHD
33187,86,Bursa,COMPANY_NAME,ASIA POLY HOLDINGS,ASIAPLY,ASIA POLY HOLDINGS BHD
33187,265,Bursa,COMPANY_NAME,DOLPHIN INTERNATIONAL,DOLPHIN,DOLPHIN INTERNATIONAL BERHAD
33185,1149,Bursa,COMPANY_NAME,UWC,UWC,UWC BERHAD
33192,312,Bursa,COMPANY_NAME,EONMETALL GROUP,EMETALL,EONMETALL GROUP BHD
33202,288,Bursa,COMPANY_NAME,ECOBUILT HOLDINGS,ECOHLDS,ECOBUILT HOLDINGS BERHAD
33207,1058,Bursa,COMPANY_NAME,TAGHILL HOLDINGS,TAGHILL,TAGHILL HOLDINGS BERHAD
33209,868,Bursa,COMPANY_NAME,POH KONG HOLDINGS,POHKONG,POH KONG HOLDINGS BHD
33215,960,Bursa,COMPANY_NAME,SOLAR DISTRICT COOLING GROUP,SDCG,SOLAR DISTRICT COOLING GROUP BERHAD
33215,,,STOCK_SYMBOL,SDCG,,
33186,635,Bursa,COMPANY_NAME,MAGMA GROUP,MAGMA,MAGMA GROUP BERHAD
33231,4,Bursa,COMPANY_NAME,99 SPEED MART RETAIL HOLDINGS,99SMART,99 SPEED MART RETAIL HOLDINGS BERHAD
33240,952,Bursa,COMPANY_NAME,SCIENTEX,SCIENTX,SCIENTEX BERHAD
33246,4,Bursa,COMPANY_NAME,99 SPEED MART RETAIL HOLDINGS,99SMART,99 SPEED MART RETAIL HOLDINGS BERHAD
33246,46,Bursa,COMPANY_NAME,AMMB HOLDINGS,AMBANK,AMMB HOLDINGS BHD
33255,1082,Bursa,COMPANY_NAME,TENAGA NASIONAL,TENAGA,TENAGA NASIONAL BHD
33265,193,Bursa,COMPANY_NAME,COUNTRY HEIGHTS HOLDINGS,CHHB,COUNTRY HEIGHTS HOLDINGS BHD
33267,456,Bursa,COMPANY_NAME,HPP HOLDINGS,HPPHB,HPP HOLDINGS BERHAD
33267,1059,Bursa,COMPANY_NAME,SYARIKAT TAKAFUL MALAYSIA KELUARGA,TAKAFUL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD
33193,960,Bursa,COMPANY_NAME,SOLAR DISTRICT COOLING GROUP,SDCG,SOLAR DISTRICT COOLING GROUP BERHAD
33198,744,Bursa,COMPANY_NAME,MYNEWS HOLDINGS,MYNEWS,MYNEWS HOLDINGS BERHAD
33212,839,Bursa,COMPANY_NAME,PESONA METRO HOLDINGS,PESONA,PESONA METRO HOLDINGS BHD
33212,989,Bursa,COMPANY_NAME,SIME DARBY PROPERTY,SIMEPROP,SIME DARBY PROPERTY BERHAD
