title,url,created_at,updated_at,published_date,summary,content,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
Oil up 1% as Mideast tensions offset US inflation worries,https://www.klsescreener.com/v2/news/view/1261781,2024-01-12 07:55:20,2024-01-12 07:55:20,2024-01-12 07:36:00,"Oil prices gained about 1% on Thursday after Iran seized an oil tanker off the coast of Oman, raising the prospect of escalating conflict in the Middle East.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">Brent futures rose 61 cents, or 0.8%, to settle at US$77.41 a barrel, while US West Texas Intermediate (WTI) crude rose 65 cents, or 0.9%, to settle at US$72.02.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><p>NEW YORK: Oil prices gained about 1% on Thursday after Iran seized an oil tanker off the coast of Oman, raising the prospect of escalating conflict in the Middle East.</p><p>Brent futures rose 61 cents, or 0.8%, to settle at US$77.41 a barrel, while US West Texas Intermediate (WTI) crude rose 65 cent",,,https://apicms.thestar.com.my/uploads/images/2024/01/12/2486952.jpeg,https://apicms.thestar.com.my/uploads/images/2024/01/12/2486952.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
"Wall St little-changed after inflation, labour data",https://www.klsescreener.com/v2/news/view/1261779,2024-01-12 07:44:22,2024-01-12 07:44:22,2024-01-12 07:29:00,"US stocks closed little-changed on Thursday as news of hotter-than-expected inflation and signs of labour market strength dampened hopes for early interest rate cuts by the Federal Reserve this year, but a fall in Treasury yields kept declines in check.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">At 4:11 p.m. the Dow rose 15.29 points, or 0.04%, to 37,711.02. The S&amp;P 500 lost 3.21 points, or 0.07%, at 4,780.24 and the Nasdaq gained just 0.54 points, at 14,970.19. — Reuters</p></div></div><div id=""story-body"" class=""story bot-15 relative""><p>NEW YORK: US stocks closed little-changed on Thursday as news of hotter-than-expected inflation and signs of labour market strength dampened hopes for early interest rate cuts by the Federal Reserve this year, but a fall in Treasury yields kept declines in check.</p><p>In a chop",,,https://apicms.thestar.com.my/uploads/images/2024/01/12/2486941.JPG,https://apicms.thestar.com.my/uploads/images/2024/01/12/2486941.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
NetX proposes one-for-two bonus issue of warrants,https://www.klsescreener.com/v2/news/view/1261693,2024-01-12 01:20:18,2024-01-12 15:45:23,2024-01-12 01:10:10,"NetX Holdings Bhd has proposed a bonus issue of 468.98 million free warrants on the basis of one warrant for every two shares held on an entitlement date to be determined later.

In a bourse filing on Thursday, the software and systems developer said the illustrative exercise price is eight sen per warrant.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 11): NetX Holdings Bhd has proposed a bonus issue of 468.98 million free warrants on the basis of one warrant for every two shares held on an entitlement date to be determined later.</p></div>

<div class=newsTextDataWrapInner><p>In a bourse filing on Thursday, the software and systems developer said the illustrative exercise price is eight sen per warrant.</p></div>

<div class=newsTextDataWrapInner><p>This, it said, represents a discount of about 25.7% to the theoretical ex-all price (TEAP) of NetX shares of 10.77 sen, calculated base",,,https://assets.theedgemarkets.com/NetX-Holdings-2_www.netx_.com_.my__4.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Four Sabah Pan Borneo Highway work packages completed as of last year — Hajiji,https://www.klsescreener.com/v2/news/view/1261691,2024-01-12 01:03:47,2024-01-12 15:34:34,2024-01-12 00:52:58,"PENAMPANG (Jan 11): Four Sabah Pan Borneo Highway Phase 1 project work packages (WPs) have been completed as of Dec 31 last year, said Chief Minister Datuk Seri Hajiji Noor.

They are the Papar-Donggongon road, Tawau-Semporna road, Lahad Datu bypass and Kampung Lot M-Sandakan Mile 32 roa...","<div class=newsTextDataWrapInner><p>PENAMPANG (Jan 11): Four Sabah Pan Borneo Highway Phase 1 project work packages (WPs) have been completed as of Dec 31 last year, said Chief Minister Datuk Seri Hajiji Noor.</p></div>

<div class=newsTextDataWrapInner><p>They are the Papar-Donggongon road, Tawau-Semporna road, Lahad Datu bypass and Kampung Lot M-Sandakan Mile 32 road.</p></div>

<div class=newsTextDataWrapInner><p>Hajiji said there were 35 WPs in Phase 1 of the project, of which 11 were still in progress, five under the procurement process and 15 had yet to take off under Phase 1B.</p></",Edge,,https://assets.theedgemarkets.com/hajiji-noor_7.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Dubai Move : 13 police reports lodged on Thursday — Allaudeen,https://www.klsescreener.com/v2/news/view/1261689,2024-01-12 01:03:46,2024-01-12 15:19:31,2024-01-12 00:49:16,"A total of 13 reports were received on Thursday in connection with the 'Dubai Move,' alleged to be aimed at toppling the Federal Government led by Datuk Seri Anwar Ibrahim.

When contacted by Bernama on Thursday night, Kuala Lumpur police chief Datuk Allaudeen Abdul Majid said all police reports received on Thursday are currently under investigation by Bukit Aman","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 11): A total of 13 reports were received on Thursday in connection with the 'Dubai Move,' alleged to be aimed at toppling the Federal Government led by Datuk Seri Anwar Ibrahim.</p></div>

<div class=newsTextDataWrapInner><p>When contacted by Bernama on Thursday night, Kuala Lumpur police chief Datuk Allaudeen Abdul Majid said all police reports received on Thursday are currently under investigation by Bukit Aman.</p></div>

<div class=newsTextDataWrapInner><p>On Jan 9, Inspector-General of Police, Tan Sri Razarudin Husain, said the pol",Edge,,https://assets.theedgemarkets.com/Allaudeen Abdul Majid.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
OCBC Bank to develop convenient schemes for Singapore-based corporates to fulfill banking needs in Johor,https://www.klsescreener.com/v2/news/view/1261687,2024-01-12 00:46:47,2024-01-12 15:19:28,2024-01-12 00:39:48,OCBC Bank (Malaysia) Bhd said it will be developing forward-looking and convenient schemes to support corporates and small and medium enterprises (SMEs) based in Singapore to fulfill their banking needs in Johor.,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 11): OCBC Bank (Malaysia) Bhd said it will be developing forward-looking and convenient schemes to support corporates and small and medium enterprises (SMEs) based in Singapore to fulfill their banking needs in Johor.</p></div>

<div class=newsTextDataWrapInner><p>Its chief executive officer, Tan Chor Sen, said this in a statement&nbsp; in conjunction with the signing of the Memorandum of Understanding (MOU) for the Johor-Singapore Special Economic Zone (JS-SEZ) by Malaysia and Singapore on Thursday.</p></div>

<div class=newsTextDataWr",Edge,,https://assets.theedgemarkets.com/ocbc_8.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Smuggling ring busted with seizure of diesel worth RM15 mil, 12 nabbed — Bukit Aman",https://www.klsescreener.com/v2/news/view/1261685,2024-01-12 00:46:46,2024-01-12 15:04:44,2024-01-12 00:35:05,"A syndicate smuggling subsidised diesel was busted when police arrested 12 men and confiscated various items including 1.02 million litres of diesel estimated at RM15.18 million in Klang on Tuesday.

Bukit Aman Department of Internal Security and Public Order director Datuk Seri Hazani Ghazali said 10 foreigners and two local men were arrested by a police team from the Wildlife Crime Bureau/Special Investigative And Intelligence (WCB/PSK) which is under the department.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 11): A syndicate smuggling subsidised diesel was busted when police arrested 12 men and confiscated various items including 1.02 million litres of diesel estimated at RM15.18 million in Klang on Tuesday.</p></div>

<div class=newsTextDataWrapInner><p>Bukit Aman Department of Internal Security and Public Order director Datuk Seri Hazani Ghazali said 10 foreigners and two local men were arrested by a police team from the Wildlife Crime Bureau/Special Investigative And Intelligence (WCB/PSK) which is under the department.</p></div>

<div c",,,https://assets.theedgemarkets.com/diesel_3.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Malaysian drug kingpin deported to Thailand, authorities working to seize remaining ill-gotten gains",https://www.klsescreener.com/v2/news/view/1261683,2024-01-12 00:33:47,2024-01-12 14:18:59,2024-01-12 00:25:45,"The 41-year-old Malaysian drug kingpin nabbed in Laos has been deported to Thailand, with authorities ramping up investigations to seize his remaining ill-gotten gains from alleged drug trafficking activities.

The man from Parit Buntar, Perak, Malaysia was arrested last Dec 28, in Vientiane, Laos and was deported to Thailand on Thursday.","<div class=newsTextDataWrapInner><p>BANGKOK (Jan 11):The 41-year-old Malaysian drug kingpin nabbed in Laos has been deported to Thailand, with authorities ramping up investigations to seize his remaining ill-gotten gains from alleged drug trafficking activities.</p></div>

<div class=newsTextDataWrapInner><p>The man from Parit Buntar, Perak, Malaysia was arrested last Dec 28, in Vientiane, Laos and was deported to Thailand on Thursday.</p></div>

<div class=newsTextDataWrapInner><p>Secretary General of the Narcotics Control Board, Pol Lt Gen&nbsp; Phanurat Lukboon, said the man will face p",新闻,,https://assets.theedgemarkets.com/handcuff arrest detain_2.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Sg Perai pipeline repair completed, undergoing tests — Penang Water Supply Corporation",https://www.klsescreener.com/v2/news/view/1261681,2024-01-12 00:33:46,2024-01-12 14:17:13,2024-01-12 00:19:46,"Repair work on the pipeline leak at the bottom of Sungai Perai has been completed and tests are being conducted to fully restore supply, says the Penang Water Supply Corporation (PBAPP).

The Sungai Dua Water Treatment Plant (LRA) in Sungai Perai had two 1,200-millimetre valves replaced and is the last of the 22 locations in Penang to undergo ancillary repair works.","<div class=newsTextDataWrapInner><p>BUTTERWORTH (Jan 11): Repair work on the pipeline leak at the bottom of Sungai Perai has been completed and tests are being conducted to fully restore supply, says the Penang Water Supply Corporation (PBAPP).</p></div>

<div class=newsTextDataWrapInner><p>The Sungai Dua Water Treatment Plant (LRA) in Sungai Perai had two 1,200-millimetre valves replaced and is the last of the 22 locations in Penang to undergo ancillary repair works.</p></div>

<div class=newsTextDataWrapInner><p>In its statement on Thursday evening, PBAPP stated that the attachment of th",,,https://assets.theedgemarkets.com/water-supply_123rf_52.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Borneo Oil, Fajarbaru Builder, Atlan, Hume Cement, UEM Sunrise and KUB Malaysia",https://www.klsescreener.com/v2/news/view/1261677,2024-01-12 00:18:39,2024-01-12 14:04:20,2024-01-12 00:06:23,"KUALA LUMPUR (Jan 11): Here is a brief recap of some corporate announcements that made news on Thursday:

Sabah-based gold miner Borneo Oil Bhd has ended its gold-mining venture with Syarikat Ratna Pura Sdn Bhd (SRP) and Ricco Mining Sdn Bhd in Mukim Keratong, Rompin, Pahang, as part of ...","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 11): Here is a brief recap of some corporate announcements that made news on Thursday:</p></div>

<div class=newsTextDataWrapInner><p>Sabah-based gold miner Borneo Oil Bhd has ended its gold-mining venture with Syarikat Ratna Pura Sdn Bhd (SRP) and Ricco Mining Sdn Bhd in Mukim Keratong, Rompin, Pahang, as part of its plans to downsize its mining operations in the state. Borneo Oil said it has entered into a deed of cancellation and novation with Lum Har Chi @ Lum Kong Fatt, Lum Kong Sun and Zainab Mohd Taib (vendors) to acquire a 90% sta",,,https://assets.theedgemarkets.com/companies_118.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
