title,url,created_at,updated_at,published_date,summary,content,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
Johor authorities seize 11 floor mats bearing Kaabah images from supermarket,https://www.klsescreener.com/v2/news/view/1308249,2024-04-13 20:35:56,2024-04-15 13:04:43,2024-04-13 20:19:14,The Johor State Islamic Religious Affairs Department seized 11 floor mats bearing the images of the Kaabah from a supermarket in the district on Tuesday.,"<div class=newsTextDataWrapInner><p>BATU PAHAT (April 13): The Johor State Islamic Religious Affairs Department&nbsp;seized 11 floor mats bearing the images of the Kaabah from a supermarket in the district on Tuesday.</p></div>

<div class=newsTextDataWrapInner><p>State Islamic Religious Affairs Committee chairman Mohd Fared Mohd Khalid said the floor mats were confiscated following complaints from the public.</p></div>

<div class=newsTextDataWrapInner><p>He said the supermarket management had been called up to provide explanations, and warned to exercise caution over the products they se",,,https://assets.theedgemarkets.com/Retail_20230612143917_theedgemalaysia_8.jpg,https://assets.theedgemarkets.com/Retail_20230612143917_theedgemalaysia_8.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Aidilfitri: Traffic still slow on some highways as of 5pm on Saturday,https://www.klsescreener.com/v2/news/view/1308217,2024-04-13 18:02:10,2024-04-15 12:49:26,2024-04-13 17:49:36,"The traffic flow on several major highways was reportedly still slow as of 5pm on Saturday.

A Malaysian Highway Authority spokesman said a high volume of vehicles on the North-South Expressway (PLUS) and the East Coast Expressway Phase Two (LPT2) had caused a congestion along several stretches.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (April 13): The traffic flow on several major highways was reportedly still slow&nbsp;as of 5pm on Saturday.</p></div>

<div class=newsTextDataWrapInner><p>A Malaysian Highway Authority spokesman said&nbsp;a high volume of vehicles on the North-South Expressway&nbsp;(PLUS) and the East Coast Expressway Phase Two (LPT2) had caused a congestion along several stretches.&nbsp;</p></div>

<div class=newsTextDataWrapInner><p>He noted that on the LPT2, traffic was moving slowly from Bukit Besi to Paka, and at the Kuala Terengganu Toll Plaza exit.</",,,https://assets.theedgemarkets.com/20211011_TRA_REOPENING-STATE-BOARDER_ZHD_5459-Road-traffic-MCO-Covid-Zahid-Izzani-Mohd-Said_20231223101840_theedgemalaysia_1.jpg,https://assets.theedgemarkets.com/20211011_TRA_REOPENING-STATE-BOARDER_ZHD_5459-Road-traffic-MCO-Covid-Zahid-Izzani-Mohd-Said_20231223101840_theedgemalaysia_1.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"PH still discussing candidate for Kuala Kubu Baharu by-election, says Gobind",https://www.klsescreener.com/v2/news/view/1308207,2024-04-13 17:18:48,2024-04-15 12:49:23,2024-04-13 17:12:01,"Pakatan Harapan (PH) is still discussing the candidate for the Kuala Kubu Baharu by-election, said DAP national deputy chairman Gobind Singh Deo.","<div class=newsTextDataWrapInner><p>KUALA KUBU BAHARU (April 13): Pakatan Harapan&nbsp;(PH) is still discussing the candidate&nbsp;for the Kuala Kubu Baharu by-election, said DAP national deputy chairman Gobind Singh Deo.</p></div>

<div class=newsTextDataWrapInner><p>Gobind, who is also the Selangor DAP chairman, said his party had received many names as the PH candidate&nbsp;for&nbsp;the by-election, and a&nbsp;list of names is being considered.</p></div>

<div class=newsTextDataWrapInner><p>""Discussions with PH Selangor have been held, and the candidate decided will be brought to the ce",,,https://assets.theedgemarkets.com/20230214_PEO_PARLIAMENT MALAYSIA_ZHD_8201_20240413171110_theedgemalaysia.jpg,https://assets.theedgemarkets.com/20230214_PEO_PARLIAMENT MALAYSIA_ZHD_8201_20240413171110_theedgemalaysia.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Fahmi denies billions in royalties deposited into PKR's accounts,https://www.klsescreener.com/v2/news/view/1308181,2024-04-13 15:03:57,2024-04-15 12:34:35,2024-04-13 14:55:37,Parti Keadilan Rakyat (PKR) information chief Fahmi Fadzil has denied allegations that billions of ringgit in royalty funds for Kelantan and Terengganu were deposited into the party's accounts.,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (April 13): Parti Keadilan Rakyat&nbsp;(PKR) information chief Fahmi Fadzil has denied allegations that billions of ringgit in royalty funds&nbsp;for Kelantan and Terengganu were deposited&nbsp;into the party's accounts.</p></div>

<div class=newsTextDataWrapInner><p>""There are individuals who upload fake&nbsp;and defamatory&nbsp;posts, which are very disgusting. Keadilan discloses&nbsp;its accounts every time a congress is held, and these&nbsp;accounts are audited by certified auditors.</p></div>

<div class=newsTextDataWrapInner><p>""Never ",新闻,,https://assets.theedgemarkets.com/fahmi fadzil 20240103_20240103182417_bernama_12.jpg,https://assets.theedgemarkets.com/fahmi fadzil 20240103_20240103182417_bernama_12.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Unity govt to discuss allocations for opposition on Wednesday, says Fadillah",https://www.klsescreener.com/v2/news/view/1308177,2024-04-13 14:05:44,2024-04-15 12:32:33,2024-04-13 13:56:06,The demands for allocations by opposition Members of Parliament will be discussed in the Unity Government Leadership Council meeting next Wednesday.,"<div class=newsTextDataWrapInner><p>KUCHING (April 13): The demands for allocations by opposition Members of Parliament will be discussed in the Unity Government Leadership Council meeting next Wednesday.</p></div>

<div class=newsTextDataWrapInner><p>Deputy Prime Minister Datuk Seri Fadillah Yusof said this follows his meeting with Opposition Leader Datuk Seri Hamzah Zainudin in Parliament on March 19.</p></div>

<div class=newsTextDataWrapInner><p>""In the meeting, the opposition said they want allocations and any conditions [to give allocations]&nbsp;are up to the government [to set].</p",,,https://assets.theedgemarkets.com/20240130_PEO_BOOK LAUNCH OF 4TH EDITION CIVIL & CRIMINAL APPEALS IN MALAYSIA_DSC_9069_LYY_20240413135458_theedgemalaysia.jpg,https://assets.theedgemarkets.com/20240130_PEO_BOOK LAUNCH OF 4TH EDITION CIVIL & CRIMINAL APPEALS IN MALAYSIA_DSC_9069_LYY_20240413135458_theedgemalaysia.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"The Week Ahead: Malaysia 1Q advance GDP estimate, March trade data in focus",https://www.klsescreener.com/v2/news/view/1308167,2024-04-13 10:50:35,2024-04-16 13:31:28,2024-04-13 10:39:47,"This week’s key focus on the local front will be on Malaysia’s advance gross domestic product (GDP) estimate for the first quarter of 2024 (1Q2024), which is scheduled to be released on April 19.","<div class=newsTextDataWrapInner><p><span style=""font-style: italics;"">This article first appeared in The Edge Malaysia Weekly on April 15, 2024 - April 21, 2024</span></p></div><div class=newsTextDataWrapInner><p>This week’s key focus on the local front will be on <strong>Malaysia’s advance gross domestic product (GDP) estimate for the first quarter of 2024</strong> (1Q2024), which is scheduled to be released on April 19.</p></div>

<div class=newsTextDataWrapInner><p>Bloomberg estimates show that the nation’s economy could grow 2.9% to 3.9% year on year, but UOB Global Economics &amp; Mark",Edge,,https://assets.theedgemarkets.com/TEM1519_The-Week-Ahead_theedgemalaysia.jpg,https://assets.theedgemarkets.com/TEM1519_The-Week-Ahead_theedgemalaysia.jpg,54,TheEdge,http://www.theedgemarkets.com/options/edge
Are commodities at the start of a secular bull run?,https://www.klsescreener.com/v2/news/view/1308159,2024-04-13 08:31:51,2024-04-16 11:31:37,2024-04-13 08:16:37,"The uptrend in prices of a number of commodities — reflected in the 14.2% rise in the S&P GSCI from its recent December trough — brought back memories of the commodity bull run in 2021 and 2022, when the effects of the Covid-19 pandemic followed by the war in Ukraine choked global supply chains and sent food prices higher.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (April 13): The uptrend in prices of a number of commodities — reflected in the 14.2% rise in the S&amp;P GSCI from its recent December trough — brought back memories of the commodity bull run in 2021 and 2022, when the effects of the Covid-19 pandemic followed by the war in Ukraine choked global supply chains and sent food prices higher.</p></div>

<div class=newsTextDataWrapInner><p>There are several key themes that seem to be affecting commodity prices, the most positive factor being the bottoming of China’s economy. A pickup in economic ac",Edge,,https://assets.theedgemarkets.com/TEM_Weekly_Highlights_1519.jpg,https://assets.theedgemarkets.com/TEM_Weekly_Highlights_1519.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"Oil settles up on Mideast tensions, posts weekly loss",https://www.klsescreener.com/v2/news/view/1308157,2024-04-13 07:44:22,2024-04-13 07:44:22,2024-04-13 07:29:00,Oil rose around 1% on Friday on geopolitical tensions in the Middle East but posted a weekly loss on a bearish world oil demand growth forecast from the International Energy Agency (IEA) and worries about slower US interest rate cuts.,"<div class=""inline-img""><div class=""story-image""><p class=""caption"">Brent crude futures settled up 71 cents at US$90.45 a barrel, while US West Texas Intermediate crude futures rose 64 cents to US$85.66.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: Oil rose around 1% on Friday on geopolitical tensions in the Middle East but posted a weekly loss on a bearish world oil demand growth forecast from the International Energy Agency (IEA) and worries about slower US interest rate cuts.</p><p>Brent crude futures settled",,,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641112.jpeg,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641112.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Wall St Week Ahead: Surging US energy shares reflect robust growth,https://www.klsescreener.com/v2/news/view/1308155,2024-04-13 07:33:24,2024-04-13 07:33:24,2024-04-13 07:22:00,"US energy shares are soaring as investors benefit from rising oil prices and a stronger-than-expected economy, while seeking to protect their portfolios from a feared resurgence of inflation.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">The economy will be in focus in the coming week as first-quarter earnings season heats up.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: US energy shares are soaring as investors benefit from rising oil prices and a stronger-than-expected economy, while seeking to protect their portfolios from a feared resurgence of inflation.</p><p>The S&amp;P 500 energy sector is up about 17% in 2024, roughly doubling the broader index's year-to-date return. It",,,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641111.JPG,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641111.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Wall St ends sharply lower on sticky inflation,https://www.klsescreener.com/v2/news/view/1308153,2024-04-13 07:33:23,2024-04-13 07:33:23,2024-04-13 07:17:00,"US stocks sold off on Friday after major US banks' results failed to impress, capping a week marked by market-moving inflation data, evolving expectations for US Federal Reserve policy, and looming geopolitical tensions.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">The Dow fell 475.84 points, or 1.24%, to 37,983.24. The S&amp;P 500 lost 75.65 points, or 1.46%, at 5,123.41 and the Nasdaq dropped 267.10 points, or 1.62%, to 16,175.09.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: US stocks sold off on Friday after major US banks' results failed to impress, capping a week marked by market-moving inflation data, evolving expectations for US Federal Reserve policy, and looming geopolitical tensions.</p><p>All th",,,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641107.JPG,https://apicms.thestar.com.my/uploads/images/2024/04/13/2641107.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
