title,url,created_at,updated_at,published_date,summary,content,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
UEM Edgenta’s Opus harnessing DEI for growth,https://www.klsescreener.com/v2/news/view/1392475,2024-09-16 07:19:02,2024-09-17 15:35:03,2024-09-16 07:00:00,"Over the years, asset management and infrastructure solutions provider UEM Edgenta Bhd has intensify its integration of technology  with Environmental, Social and Governance (ESG) principles. This aligns with National Energy Transition Roadmap (NETR) and the nation’s commitment to reduce greenhouse gas (GHG) emissions by 2030. The group has positioned its wholly owned unit, Opus International (M) Berhad and Opus Energy Sdn Bhd collectively known as Opus, at the forefront of this sustainability agenda, supporting clients on their ESG and decarbonisation journey.","<div class=""ceonothumb pb-5 imgw-800 mx-auto d-block""><img alt="""" src=""//myassets.theedgemalaysia.com/pics/2024/UEM_Edgenta_BC16092024_thumb_theedgemalaysia.jpg"" />
<div class=""my-caption"" style=""color: #000 !important;border-left: unset;border-right: unset;text-align: center;"">ESG and DEI ensure that our success is measured not only by financial performance but also by the positive impact we have on society and the environment.”<br />
— Opus International (M) Bhd, Managing Director<br />
<b>Hillary Chua</b></div>
</div>

<div class=newsTextDataWrapInner><p>Over the years, asset manageme",新闻,,https://assets.theedgemarkets.com/UEM_Edgenta_BC16092024_thumb_theedgemalaysia.jpg,https://assets.theedgemarkets.com/UEM_Edgenta_BC16092024_thumb_theedgemalaysia.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Steel Hawk demonstrates strategic excellence in navigating O&G value chain,https://www.klsescreener.com/v2/news/view/1392473,2024-09-16 07:19:01,2024-09-17 15:20:04,2024-09-16 07:00:00,"In a world where the oil and gas (O&G) industry is often buffeted by market fluctuations, Steel Hawk Berhad has charted a course of sustained growth and resilience. Since its inception in 2012, the company has steadily expanded its capabilities, starting from a single chemical injection skids contract to becoming one of the key operating expenditure (opex) engineering, procurement, construction and commissioning (EPCC) contractors in Malaysia’s energy sector.","<div class=newsTextDataWrapInner><p>In a world where the oil and gas (O&amp;G) industry is often buffeted by market fluctuations, Steel Hawk Berhad has charted a course of sustained growth and resilience. Since its inception in 2012, the company has steadily expanded its capabilities, starting from a single chemical injection skids contract to becoming one of the key operating expenditure (opex) engineering, procurement, construction and commissioning (EPCC) contractors in Malaysia’s energy sector.</p></div>

<div class=newsTextDataWrapInner><p>“Our growth trajectory has been nothing short o",,,https://assets.theedgemarkets.com/steel-hawk-bc160924_thumb_theedgemalaysia.jpg,https://assets.theedgemarkets.com/steel-hawk-bc160924_thumb_theedgemalaysia.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Funds pour into Southeast Asia as rate-cut cycle gets underway,https://www.klsescreener.com/v2/news/view/1392471,2024-09-16 00:47:26,2024-09-17 14:50:02,2024-09-16 00:37:37,"KUALA LUMPUR (Sept 15): Global funds are snapping up Southeast Asian assets, as the prospect of interest-rate cuts and attractive valuations holds out the promise of supersized returns.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Sept 15): Global funds are snapping up Southeast Asian assets, as the prospect of interest-rate cuts and attractive valuations holds out the promise of supersized returns.</p></div>

<div class=newsTextDataWrapInner><p>Money managers have boosted positions in sovereign bonds in Thailand, Indonesia and Malaysia for the past two months, and have been net buyers of Indonesian, Malaysian and Philippine equities for three months. Those inflows have helped make Southeast Asian currencies the best performers in emerging markets (EMs) this quarter, w",,,https://assets.theedgemarkets.com/416881341-SE-Asia-economy-downtown-KL-Kuala-Lumpur-px-Richard-Humphries_20240916002743_bloomberg.jpg,https://assets.theedgemarkets.com/416881341-SE-Asia-economy-downtown-KL-Kuala-Lumpur-px-Richard-Humphries_20240916002743_bloomberg.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Leading with empathy: The power of servant leadership,https://www.klsescreener.com/v2/news/view/1392469,2024-09-16 00:19:04,2024-09-17 14:19:40,2024-09-16 00:00:00,"In today’s rapidly evolving business landscape, traditional leadership models are giving way to approaches that prioritise empowerment a...","<div class=""ceonothumb embed-right imgw-200""><img alt="""" src=""//myassets.theedgemalaysia.com/pics/2024/Sunway_BC16092024_img1v2_theedgemalaysia.jpg"" /></div>

<div class=newsTextDataWrapInner><p>In today’s rapidly evolving business landscape, traditional leadership models are giving way to approaches that prioritise empowerment and empathy. Among these, servant leadership stands out for its profound impact on organisational culture and effectiveness. Rooted in the philosophy that leaders serve their teams instead of the traditional hierarchy, servant leadership embodies a transformative appr",,,https://assets.theedgemarkets.com/Sunway_BC16092024_thumb_theedgemalaysia.jpg,https://assets.theedgemarkets.com/Sunway_BC16092024_thumb_theedgemalaysia.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Accelerating progress: Reflecting on Gentari's two-year journey in the clean energy landscape,https://www.klsescreener.com/v2/news/view/1392467,2024-09-16 00:19:03,2024-09-17 13:49:39,2024-09-16 00:00:00,"Since its launch two years ago, Gentari has rapidly emerged as a key player in the clean energy sector. Despite challenges, the company's swift progress highlights the immense potential of the industry and the growing demand for sustainable solutions toward Net Zero Carbon Emissions (NZCE).","<div class=""ceonothumb pb-5 imgw-800 mx-auto d-block""><a class=""mobx embedimg-icon"" data-desc=""Two years of putting clean energy into action: Gentari offers clean energy solutions through three initial core pillars - Renewable Energy, Hydrogen and Green Mobility - forming a portfolio of solutions cutting across the electron value chain to help customers achieve net zero emissions."" data-rel=""ceolightbox"" href=""//myassets.theedgemalaysia.com/pics/2024/Gentari_Empowering-2day-N-2Morrow_BC_IMG1.jpg""><img alt="""" src=""//myassets.theedgemalaysia.com/pics/2024/Gentari_Empowering-2day-N-2Morrow_BC_IMG",,,https://assets.theedgemarkets.com/Gentari_Empowering-2day-N-2Morrow_BC_Thumb.jpg,https://assets.theedgemarkets.com/Gentari_Empowering-2day-N-2Morrow_BC_Thumb.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Creating a sustainable transformation journey,https://www.klsescreener.com/v2/news/view/1392465,2024-09-16 00:19:02,2024-09-17 14:04:58,2024-09-16 00:00:00,"As Malaysia commemorates Hari Merdeka and Hari Malaysia, businesses are called upon to play a more active role in fulfilling their environmental, social and governance (ESG) responsibilities.","<div class=newsTextDataWrapInner><p>As Malaysia commemorates Hari Merdeka and Hari Malaysia, businesses are called upon to play a more active role in fulfilling their environmental, social and governance (ESG) responsibilities.</p></div>

<div class=newsTextDataWrapInner><p>Malaysia is dedicated to the global effort against climate change, pledging to reduce greenhouse gas (GHG) emissions intensity to achieve net-zero emissions by as early as 2050. In response to growing climate challenges, the country is actively transitioning to more sustainable practices, especially in the carbon-intensiv",,,https://assets.theedgemarkets.com/TataConsultancy_TCS-Sustainathon-Msia-2024-BC_Thumb.jpg,https://assets.theedgemarkets.com/TataConsultancy_TCS-Sustainathon-Msia-2024-BC_Thumb.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Embrace the Speed: IWC Schaffhausen's Race-Ready Performance Chronographs with Precision Tachymeter Scales,https://www.klsescreener.com/v2/news/view/1392437,2024-09-16 00:06:24,2024-09-17 13:49:42,2024-09-16 00:00:00,"As the Formula 1 season reaches new heights of excitement, IWC Schaffhausen proudly showcases their race-ready performance chronographs. The timepieces, dedicated to its motorsport partners, Mercedes-AMG and the Mercedes-AMG PETRONAS Formula One™️ Team, are crafted from titanium or Ceratanium®️. A distinguishing feature is the ceramic bezel with a tachymeter scale, enabling the wearer to measure the average speed based on the distance travelled. Black dials with a glossy finish, recessed totalisers, applied indices and numerals filled with Super-LumiNova® complement the sleek design. All models are powered by the IWC-manufactured 69385 calibre and are water-resistant to 10 bar.","<div class=newsTextDataWrapInner><p>As the Formula 1 season reaches new heights of excitement, IWC Schaffhausen proudly showcases their race-ready performance chronographs. The timepieces, dedicated to its motorsport partners, Mercedes-AMG and the Mercedes-AMG PETRONAS Formula One™️ Team, are crafted from titanium or Ceratanium®️. A distinguishing feature is the ceramic bezel with a tachymeter scale, enabling the wearer to measure the average speed based on the distance travelled. Black dials with a glossy finish, recessed totalisers, applied indices and numerals filled with Super-LumiNova® co",,,https://assets.theedgemarkets.com/IWC_BC16092024_thumb_tem.jpg,https://assets.theedgemarkets.com/IWC_BC16092024_thumb_tem.jpg,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
DKSH and Hwa Tai tie up to fuel growth via robust distribution ops,https://www.klsescreener.com/v2/news/view/1392587,2024-09-16 10:44:59,2024-09-16 10:44:59,2024-09-16 00:00:00,"PETALING JAYA: DKSH Holdings (M) Bhd remains optimistic about its fast-moving consumer goods (FMCG) segment, expecting sustained growth driven by rising disposable income, digital transformation and increasing health awareness.","<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>PETALING JAYA: <a href=""/business/marketwatch/stocks/?qcounter=DKSH"" target=""_blank"">DKSH Holdings (M) Bhd</a><a href=""http://charts.thestar.com.my/?s=DKSH"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> remains optimistic about its fast-moving consumer goods (FMCG) segment, expecting sustained growth driven by rising disposable income, digital transformation and increasing health awareness.</p><p>This positive outlook is bolstered",,,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914187.jpeg,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914187.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Deals galore in M&A space,https://www.klsescreener.com/v2/news/view/1392585,2024-09-16 10:44:57,2024-09-16 10:44:57,2024-09-16 00:00:00,PETALING JAYA: Local mergers and acquisitions (M&amp;As) are expected to intensify over the next few months.,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>PETALING JAYA: Local mergers and acquisitions (M&amp;As) are expected to intensify over the next few months.</p><p>Experts are upbeat about more transactions this year compared with 2023, and the strong momentum would likely continue into 2025.</p><p>Maybank Investment Bank head of advisory Reza Mohd Zin said there has been an increased deal-making appetite as the country’s improved political stability has allowed the government to implement policies which are expected to have a p",,,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914197.jpg,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914197.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
NTPM Holdings to ride on rising demand for eco-friendly products,https://www.klsescreener.com/v2/news/view/1392583,2024-09-16 10:44:54,2024-09-16 10:44:54,2024-09-16 00:00:00,GEORGE TOWN: NTPM Holdings Bhd will leverage on the growing demand for eco-friendly products to expand its business.,"<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>GEORGE TOWN: <a href=""/business/marketwatch/stocks/?qcounter=NTPM"" target=""_blank"">NTPM Holdings Bhd</a><a href=""http://charts.thestar.com.my/?s=NTPM"" target=""_blank""><img class=""go-chart"" src=""https://cdn.thestar.com.my/Themes/img/chart.png""></a> will leverage on the growing demand for eco-friendly products to expand its business.</p><p>In its 2024 annual report, NTPM said it would capitalise on the growing demand for eco-friendly products by providing briefings for customers tha",,,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914465.jpg,https://apicms.thestar.com.my/uploads/images/2024/09/16/2914465.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
