title,url,created_at,updated_at,published_date,summary,content,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
"Man on the Run: No decision yet regarding Najib's request, says Fahmi",https://www.klsescreener.com/v2/news/view/1262491,2024-01-13 18:50:25,2024-01-15 16:19:31,2024-01-13 18:43:59,The government has not made any decision regarding the request by former prime minister Datuk Seri Najib Razak to instruct the streaming application service Netflix to take down and prohibit the screening of the documentary Man on the Run.,"<div class=newsTextDataWrapInner><p>PETALING JAYA (Jan 13): The government has not made any decision regarding the request by former prime minister Datuk Seri Najib Razak to instruct the streaming application service Netflix to take down and prohibit the screening of the documentary <em>Man on the Run</em>.</p></div>

<div class=newsTextDataWrapInner><p>Communications Minister Fahmi Fadzil said this was because it involved an ongoing court case.</p></div>

<div class=newsTextDataWrapInner><p>""Some initial views have been conveyed by the Malaysian Communications and Multimedia Commission (M",,,https://assets.theedgemarkets.com/FW1352507_KL42_13012024_ART-lpr_20240113184227_bernama.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Six involved in RM33 mil luxury car duty evasion to be charged next Monday — report,https://www.klsescreener.com/v2/news/view/1262477,2024-01-13 17:50:21,2024-01-15 16:19:28,2024-01-13 17:43:32,"Six members of a syndicate alleged to have cheated the government of over RM33 million in luxury car duties will be charged at the Alor Setar Sessions Court in Kedah next Monday and Tuesday (Jan 15 and 16), according to a report on Utusan Malaysia’s website on Saturday.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): Six members of a syndicate alleged to have cheated the government of over RM33 million in luxury car duties will be charged at the Alor Setar Sessions Court in Kedah next Monday and Tuesday (Jan 15 and 16), according to a report on <em>Utusan Malaysia</em>’s website on Saturday.</p></div>

<div class=newsTextDataWrapInner><p>All suspects, who are operators and 'runners' of a seized luxury car storage warehouse service in Pulau Langkawi, were previously detained through a special operation conducted by the Malaysian Anti-Corruption Co",,,https://assets.theedgemarkets.com/IMG-20240113-WA0004.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
"KL-Singapore HSR project not affected by Japanese firms' withdrawal, says Loke",https://www.klsescreener.com/v2/news/view/1262469,2024-01-13 17:20:25,2024-01-15 15:19:23,2024-01-13 17:05:04,"The Kuala Lumpur-Singapore high-speed rail (HSR) project remains unaffected even though Japanese firms have withdrawn from involvement in the construction of the project, said Transport Minister Anthony Loke.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): The Kuala Lumpur-Singapore high-speed rail (HSR) project remains unaffected even though Japanese firms have withdrawn from involvement in the construction of the project, said Transport Minister Anthony Loke.</p></div>

<div class=newsTextDataWrapInner><p>He said that Japanese companies are free to decide whether to participate in the project or not, as it is still in the request for information (RFI) stage.</p></div>

<div class=newsTextDataWrapInner><p>""If Japanese companies are not interested in entering the tender, it is up to ",Edge,,https://assets.theedgemarkets.com/anthony-loke-463724_20240113170349_bernama.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Zahid proposes bill to maintain a govt until end of its term,https://www.klsescreener.com/v2/news/view/1262459,2024-01-13 16:02:02,2024-01-15 15:04:52,2024-01-13 15:58:38,Deputy Prime Minister Datuk Seri Dr Ahmad Zahid Hamidi has proposed the introduction of a bill in Parliament aimed at maintaining a particular government until the end of its term.,"<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): Deputy Prime Minister Datuk Seri Dr Ahmad Zahid Hamidi has proposed the introduction of a bill in Parliament aimed at maintaining a particular government until the end of its term.</p></div>

<div class=newsTextDataWrapInner><p>The Umno president emphasised that this would prevent the recurrence of instances like when the prime minister was changed three times during the 14th parliament term.</p></div>

<div class=newsTextDataWrapInner><p>""The nation faced adverse effects, particularly during economic challenges and the Covid-19 pa",Edge,,https://assets.theedgemarkets.com/zahid-356724_20240113155721_bernama.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Bursa expected to trade on cautious note next week,https://www.klsescreener.com/v2/news/view/1262437,2024-01-13 11:20:19,2024-01-15 15:04:49,2024-01-13 11:12:56,"Bursa Malaysia is expected to trade on a cautious note next week given the major change in the macro situation following the higher-than-expected US inflation print, which would push back the interest rate cut expectation.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): Bursa Malaysia is expected to trade on a cautious note next week given the major change in the macro situation following the higher-than-expected US inflation print, which would push back the interest rate cut expectation.</p></div>

<div class=newsTextDataWrapInner><p>Rakuten Trade equity research vice-president Thong Pak Leng expects the benchmark FTSE Bursa Malaysia KLCI (FBM KLCI) to stay in consolidation mode next week until more clarity surfaces.</p></div>

<div class=newsTextDataWrapInner><p>""Our market under-performed last ",Edge,,https://assets.theedgemarkets.com/bursa-malaysia-3_theedgemarkets.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
CPO futures likely to trade with upward bias next week,https://www.klsescreener.com/v2/news/view/1262433,2024-01-13 10:33:24,2024-01-13 10:33:24,2024-01-13 10:25:00,"KUALA LUMPUR: The crude palm oil (CPO) futures contract on Bursa Malaysia Derivatives is expected to trade with an upward bias next week given expectations of a weaker output due to seasonal factors, said palm oil trader David Ng.","<div class=""inline-img""><div class=""story-image""></div></div><div id=""story-body"" class=""story bot-15 relative""><p>KUALA LUMPUR: The crude palm oil (CPO) futures contract on Bursa Malaysia Derivatives is expected to trade with an upward bias next week given expectations of a weaker output due to seasonal factors, said palm oil trader David Ng.</p><p>He said the continued strength in external markets for soybean oil and crude oil is expected to boost market sentiment in the near term.</p><p>""We expect CPO futures to trade with an upward bias with prices looking to test the RM3,950 level. Suppor",,,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489065.jpg,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489065.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
Ringgit expected to see cautious trading next week,https://www.klsescreener.com/v2/news/view/1262435,2024-01-13 10:35:27,2024-01-15 15:04:46,2024-01-13 10:18:00,"The ringgit is expected to continue trading cautiously next week, as investors await a slew of economic data scheduled to be released by several major economies.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): The ringgit is expected to continue trading cautiously next week, as investors await a slew of economic data scheduled to be released by several major economies.</p></div>

<div class=newsTextDataWrapInner><p>Bank Muamalat Malaysia Bhd chief economist Dr Mohd Afzanizam Abdul Rashid said next week, the focus would be on China’s fourth-quarter 2023 gross domestic product numbers which will be released on Wednesday, along with the UK and European Union’s consumer price index (CPI).</p></div>

<div class=newsTextDataWrapInner><p>“Given",Edge,,https://assets.theedgemarkets.com/ringgit-357492_20240113100848_bloomberg.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Capital gains tax: More than expected,https://www.klsescreener.com/v2/news/view/1262421,2024-01-13 09:18:32,2024-01-15 14:49:22,2024-01-13 09:03:37,"Beginning Jan 1, the capital gains tax (CGT) took effect. Many were under the impression that it would be limited to gains or profits from the disposal of unlisted shares in Malaysia based on the Budget 2024 announcement.","<div class=newsTextDataWrapInner><p>KUALA LUMPUR (Jan 13): Beginning Jan 1, the capital gains tax (CGT) took effect. Many were under the impression that it would be limited to gains or profits from the disposal of unlisted shares in Malaysia based on the Budget 2024 announcement. &nbsp;</p></div>

<div class=newsTextDataWrapInner><p>However, when the draft Finance (No 2) Bill 2023 was tabled in November last year, it turned out to be much more than just taxing gains from the disposal of unlisted shares. The CGT taxes, among others, gains from indirect transfers and from disposal of foreign c",,,https://assets.theedgemarkets.com/TEM_Weekly_Highlights_1506.jpg,,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
Oil climbs 1% as tankers avoid Red Sea,https://www.klsescreener.com/v2/news/view/1262409,2024-01-13 07:55:21,2024-01-13 07:55:21,2024-01-13 07:42:00,Oil rose 1% on Friday as an increasing number of oil tankers diverted course from the Red Sea following overnight air and sea strikes by the US and Britain on Houthi targets in Yemen after attacks on shipping by the Iran-backed group.,"<div class=""inline-img""><div class=""story-image""><p class=""caption"">Brent crude futures settled 88 cents, or 1.1%, higher at US$78.29 a barrel. US West Texas Intermediate crude futures climbed 66 cents, or 0.9%, to US$72.68.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>HOUSTON: Oil rose 1% on Friday as an increasing number of oil tankers diverted course from the Red Sea following overnight air and sea strikes by the US and Britain on Houthi targets in Yemen after attacks on shipping by the Iran-backed group.</p><p>Brent c",,,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489028.jpeg,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489028.jpeg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
US stocks end flat as earnings offset inflation data,https://www.klsescreener.com/v2/news/view/1262407,2024-01-13 07:44:22,2024-01-13 07:44:22,2024-01-13 07:37:00,"US stocks closed barely changed on Friday, after wavering between modest gains and losses, as mixed bank earnings offset cooler-than-expected inflation news that buoyed hopes for interest-rate cuts from the Federal Reserve.","<div class=""inline-img""><div class=""story-image""><p class=""caption"">The Dow fell 118.04 points, or 0.31%, to 37,592.98. The S&amp;P 500 gained 3.59 points, or 0.08 %, at 4,783.83 and the Nasdaq rose 2.58 points, or 0.02%, to 14,972.76.</p></div></div><div id=""story-body"" class=""story bot-15 relative""><div class=""premium-sign-overlay absolute""></div><p>NEW YORK: US stocks closed barely changed on Friday, after wavering between modest gains and losses, as mixed bank earnings offset cooler-than-expected inflation news that buoyed hopes for interest-rate cuts from the Federal Reserve.</p><p>On Fri",,,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489018.JPG,https://apicms.thestar.com.my/uploads/images/2024/01/13/2489018.JPG,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
